# F45SH_120C  Br=1.19 T  Hc=901878 A/m  mu_rec=1.05  knee=-649000 A/m  T=120 C
H_A_per_m,B_T,J_intrinsic_T
-652000.0,-0.819000,0.000327
-649000.0,0.000000,0.815557
-647000.0,0.169000,0.982044
-643000.0,0.287000,1.095018
-638000.0,0.317000,1.118734
-634000.0,0.327000,1.123708
0.0,1.190000,1.190000
