# Fe16N2_lab_best  Br=1.2 T  Hc=147023 A/m  mu_rec=1.1  knee=-120080 A/m  T=20 C
H_A_per_m,B_T,J_intrinsic_T
-152000.0,-0.191000,0.000009
-120080.0,1.034000,1.184897
-90060.0,1.076000,1.189173
-60040.0,1.117000,1.192448
-30020.0,1.159000,1.196724
0.0,1.200000,1.200000
